lema,nilai,nilai1
kongres,pertemuan besar para wakil organisasi (politik sosial profesi) untuk mendiskusikan dan mengambil keputusan mengenai pelbagai masalah,muktamar
kongsi,persekutuan dagang,perseroan
konjugasi,(Ling) sistem perubahan bentuk verba yang berhubungan dengan jumlah jenis kelamin modus dan waktu (terdapat pada bahasa fleksi),tasrif
konjungsi,(Ling) kata atau ungkapan penghubung antarkata antarfrasa antarklausa dan antarkalimat,(Astron) pertemuan atau papasan semu antara dua benda angkasa atau lebih dalam derajat rasi yang sama
konklaf,pertemuan para kardinal gereja Katolik yang diadakan untuk memilih Paus yang baru,ruang tempat para kardinal bersidang untuk memilih Paus yang baru
konkordansi,daftar alfabetis kata pokok dari sebuah buku atau karya seorang penulis dengan konteks terdekat,daftar kata (disusun secara alfabetis) dalam Alkitab (kitab suci) disertai keterangan halaman buku dan kutipan naskah yang mengandung kata itu
konkuren,lawan bersaing (harga dsb),v bersaingan
konoid,(Dok) kelenjar di tengah otak,(Tek) benda tiga dimensi yang diperoleh apabila elips parabola atau hiperbola diputar mengelilingi sumbunya
konsekuensi,akibat (dari suatu perbuatan pendirian dsb),persesuaian dengan yang dahulu
konseling,pemberian bimbingan oleh yang ahli kepada seseorang dengan menggunakan metode psikologis dsb,pengarahan
konselor,anggota (staf) perwakilan di luar negeri kedudukannya di bawah duta besar dan bertindak sebagai pembantu utama (pemangku) kepala perwakilan,orang yang melayani konseling
konsentrasi,pemusatan perhatian atau pikiran pada suatu hal,pemusatan tenaga kekuatan pasukan dsb di suatu tempat
konsep,rancangan atau buram surat dsb,ide atau pengertian yang diabstrakkan dari peristiwa konkret
konsepsi,pengertian,pendapat (paham)
konseptor,orang yang mencetuskan atau mula-mula memiliki gagasan,penyusun konsep
konser,pertunjukan musik di depan umum,pertunjukan oleh sekelompok pemain musik yang terjadi dari beberapa komposisi perseorangan
konservasi,pemeliharaan dan perlindungan sesuatu secara teratur untuk mencegah kerusakan dan kemusnahan dengan jalan mengawetkan,pengawetan
konsesi,izin untuk membuka tambang menebang hutan dsb,kerelaan (mengurangi tuntutan dsb)
konsinyasi,larangan bagi tentara untuk meninggalkan kesatrian (dalam keadaan siaga),larangan meninggalkan tempat kerja karena harus siap bertugas sewaktu-waktu atau harus menyelesaikan tugas yang mendesak
konsistensi,ketetapan dan kemantapan (dalam bertindak),ketaatasasan
konsistori,dewan gereja,(Kat) permusyawarahan kardinal di Roma yang diketuai oleh Paus
konsolidasi,perbuatan (hal dsb) memperteguh atau memperkuat (perhubungan persatuan dsb),peleburan dua perusahaan atau lebih menjadi satu perusahaan
konsonan,(Ling) bunyi bahasa yang dihasilkan dengan menghambat aliran udara pada salah satu tempat di saluran suara di atas glotis,bunyi bahasa yang dapat berada pada tepi suku kata dan tidak sebagai inti suku kata
konsorsium,himpunan beberapa pengusaha yang mengadakan usaha bersama,kumpulan pedagang dan industriawan
konstan,tetap tidak berubah,terus-menerus
konstelasi,kumpulan orang sifat atau benda yang berhubungan,keadaan tatanan
konstituen,(Kim) bagian yang penting misal natrium adalah konstituen garam dapur,(Ling) unsur bahasa yang merupakan bagian dari satuan yang lebih besar
konstitusi,segala ketentuan dan aturan tentang ketatanegaraan (undang-undang dasar dsb),undang-undang dasar suatu negara
konstriksi,(Dok) pembengkakan dan pembekuan darah yang terkontrol oleh mengerutnya pembuluh darah,penyempitan
konstruksi,susunan (model tata letak) suatu bangunan (jembatan rumah dsb),(Ling) susunan dan hubungan kata dalam kalimat atau kelompok kata
konsulat,jabatan (kedudukan) konsul,kantor konsul
konsuler,orang yang memberikan nasihat dengan dibayar (khususnya dalam bidang perpajakan),konsultan
konsumen,pemakai barang hasil produksi (bahan pakaian makanan dsb),penerima pesan iklan
konsumer,(Zool) organisme dalam suatu ekosistem yang memanfaatkan organisme lain sebagai makanannya,konsumen
konsumerisme,gerakan atau kebijakan untuk melindungi konsumen dengan menata metode dan standar kerja produsen penjual dan pengiklan,paham atau gaya hidup yang menganggap barang-barang (mewah) sebagai ukuran kebahagiaan kesenangan dsb
konsumsi,pemakaian barang hasil produksi (bahan pakaian makanan dsb),barang-barang yang langsung memenuhi keperluan hidup kita
kontak,hubungan satu dengan yang lain,(cak) sambungan arus listrik
kontaminasi,pengotoran,pencemaran (khususnya karena kemasukan unsur luar)
konteks,(Ling) bagian suatu uraian atau kalimat yang dapat mendukung atau menambah kejelasan makna,situasi yang ada hubungannya dengan suatu kejadian
kontrak,perjanjian (secara tertulis) antara dua pihak dalam perdagangan sewa-menyewa dsb,persetujuan yang bersanksi hukum antara dua pihak atau lebih untuk melakukan atau tidak melakukan kegiatan
kontrakan,yang dikontrak atau disewa (tentang rumah dsb),hasil mengontrak
kontraksi,pengerutan (sehingga menjadi berkurang panjangnya),penegangan
kontribusi,uang iuran (kepada perkumpulan dsb),sumbangan
kontributor,penyumbang (karangan kepada majalah),penderma
kontrolir,pengawas,pegawai pemerintah Hindia Belanda yang kedudukannya di bawah asisten residen
kontroversi,perdebatan,persengketaan
kontur,garis bentuk,(Ling) pola ciri-ciri yang terjadi dari pola nada gerak nada dengan atau tanpa tekanan yang meliputi sebagian atau seluruh ujaran tertentu
konveksi,(Geo) gerak udara air atau cairan lain dengan arah vertikal,peristiwa gerakan benda cair atau gas karena perbedaan suhu dan tekanan
konvensi,permufakatan atau kesepakatan (terutama mengenai adat tradisi dsb),perjanjian antarnegara para penguasa pemerintahan dsb
konvergensi,keadaan menuju satu titik pertemuan,memusat
konversi,perubahan dari satu sistem pengetahuan ke sistem yang lain,perubahan pemilikan atas suatu benda tanah dsb
konveyor,alat mekanis untuk membawa (mengangkut dsb) barang dari suatu tempat ke tempat lain (dengan ban atau rantai berjalan),pembawa
konvoi,iring-iringan mobil (kapal) dengan pengawalan bersenjata,iring-iringan kendaraan (dalam suatu perjalanan bersama)
koordinasi,perihal mengatur suatu organisasi atau kegiatan sehingga peraturan dan tindakan yang akan dilaksanakan tidak saling bertentangan atau simpang siur,(Ling) penggabungan satuan gramatikal yang sederajat dengan konjungsi koordinatif
kop,judul,kepala gagang telepon
kopak,→ kopok,v → mengopak
kopek,pundi-pundi tempat uang,dompet
kopi,pohon yang banyak ditanam di Asia Amerika Latin dan Afrika buahnya digoreng dan ditumbuk halus untuk dijadikan bahan pencampuran minuman,Coffea
kopi pahit,minuman dari kopi yang tidak dibubuhi gula,(ki) yang tidak menyenangkan (mendapat amarah mendapat teguran)
kopi susu,minuman dari kopi yang dicampur susu,warna cokelat muda
kopok,(kl) bunyi-bunyian seperti rebana kecil dibuat dari kayu atau logam,(Jw) nanah yang keluar dari lubang telinga
kopral,pangkat golongan tamtama dalam ketentaraan satu tingkat di bawah bintara dan satu tingkat di atas prajurit yang mencakupi kopral kepala kopral satu dan kopral dua,pangkat golongan tamtama dalam ketentaraan satu tingkat di bawah bintara dan satu tingkat di atas prajurit yang mencakupi kopral kepala kopral satu dan kopral dua
kopral dua,pangkat tamtama peringkat ketiga dalam ketentaraan satu tingkat di bawah kopral satu satu tingkat di atas prajurit kepala (tanda pangkatnya satu bengkok menyerupai huruf V yang ditempatkan di lengan baju berwarna merah untuk angkatan darat dan udara berwarna biru untuk angkatan laut),pangkat tamtama peringkat ketiga dalam ketentaraan satu tingkat di bawah kopral satu satu tingkat di atas prajurit kepala (tanda pangkatnya satu bengkok menyerupai huruf V yang ditempatkan di lengan baju berwarna merah untuk angkatan darat dan udara berwarna biru untuk angkatan laut)
kopral kepala,pangkat tamtama peringkat pertama dalam ketentaraan satu tingkat di bawah sersan dua satu tingkat di atas kopral satu (tanda pangkatnya tiga bengkok menyerupai huruf V berwarna merah untuk angkatan darat dan udara berwarna biru untuk angkatan laut),pangkat tamtama peringkat pertama dalam ketentaraan satu tingkat di bawah sersan dua satu tingkat di atas kopral satu (tanda pangkatnya tiga bengkok menyerupai huruf V berwarna merah untuk angkatan darat dan udara berwarna biru untuk angkatan laut)
kopral satu,pangkat tamtama peringkat kedua dalam ketentaraan satu tingkat di bawah kopral kepala satu tingkat di atas kopral dua (tanda pangkatnya dua bengkok menyerupai huruf V berwarna merah untuk angkatan darat dan udara berwarna biru untuk angkatan laut),pangkat tamtama peringkat kedua dalam ketentaraan satu tingkat di bawah kopral kepala satu tingkat di atas kopral dua (tanda pangkatnya dua bengkok menyerupai huruf V berwarna merah untuk angkatan darat dan udara berwarna biru untuk angkatan laut)
koprolit,(Kim) kotoran yang telah memfosil,kotoran yang telah memfosil
kopulasi,pergabungan,(Bio) persetubuhan
koral,tumbuhan (bunga) karang yang dibangun di dasar laut oleh binatang karang yang berupa jasad renik,rumah bekas koloni binatang laut
korban,pemberian untuk menyatakan kebaktian kesetiaan dsb,kurban
korek,cungkil,gerek
koreksi,pembetulan,perbaikan
koreksian,bahan yang akan dikoreksi,hasil mengoreksi
korektor,orang yang (pekerjaannya) membetulkan kesalahan (pada cetak coba naskah dsb),orang yang bertugas membetulkan hasil susunan untuk disesuaikan dengan contohnya
koreografi,seni mencipta dan menggubah tari (balet),seni tari (balet)
korespondensi,perihal surat menyurat,(Sas) perihal hubungan antara bunyi yang satu dan yang lain dalam sajak
koretan,sisa makan yang tertinggal,(ki) yang penghabisan sekali paling belakang
koridor,lorong dalam rumah,lorong yang menghubungkan gedung yang satu dengan gedung yang lain
korion,(Dok) selaput terluar pembungkus janin,(Zool) selaput luar embrio yang berfungsi sebagai selaput pelindung dan pencari makanan
korona,(Astron) cahaya semu di sekitar matahari bulan atau sumber cahaya yang terjadi karena penyebaran cahaya oleh titik-titik atau bagian kecil benda dalam atmosfer,lingkaran sinar yang mengelilingi matahari
koroner,pembuluh nadi tajuk jantung,(Dok) petugas yang melakukan pemeriksaan mayat dalam hal kematian mendadak akibat kekerasan atau akibat hal-hal yang tidak dapat dijelaskan
korosi,proses perubahan atau perusakan yang disebabkan oleh reaksi kimia,proses kimia atau elektrokimia yang kompleks yang merusak logam melalui reaksi dengan lingkungannya
korosif,(Far) obat yang mengikis jaringan organ secara kimia atau secara peradangan,bahan yang menyebabkan pengikisan
korporasi,badan usaha yang sah,badan hukum
korpus,badan (manusia atau binatang yang mati),(Sas) himpunan karangan dengan tema masalah pengarang atau bentuk yang sama
korset,pembebat perut berbentuk kemban yang diberi kancing untuk membuat perut (pada wanita) tampak lebih kecil,kutang yang ketat dan panjang dari dada sampai pinggul digunakan untuk membuat tubuh wanita tampak langsing
kortison,(Kim) hormon yang dikeluarkan oleh kelenjar kulit adrenal,C21H28O5
korve,kerja paksa (diharuskan oleh penguasa yang diupah sedikit sekali atau tidak sama sekali),kerja rodi
kosak-kasik,tiruan bunyi barang atau orang yang selalu bergerak-gerak bergeser-geser dsb,selalu bergerak-gerak (bergeser-geser berpindah-pindah)
kosar,pohon yang kayunya baik untuk bahan rumah dsb,Artocarpus rigida
kosmografi,pengetahuan tentang seluruh susunan alam,pemerian (penggambaran) secara umum tentang jagat raya termasuk bumi
kosmologi,ilmu (cabang astronomi yang menyelidiki asal-usul struktur dan hubungan ruang waktu dari alam semesta,ilmu tentang asal-usul kejadian bumi hubungannya dengan sistem matahari serta hubungan sistem matahari dengan jagat raya
kosmopolit,warga dunia (orang yang tidak mempunyai kewarganegaraan),(Bio) organisme yang dapat hidup dan berkembang di seluruh dunia
kosokbali,(Jw) lawan,kebalikan
kota,daerah permukiman yang terdiri atas bangunan rumah yang merupakan kesatuan tempat tinggal dari berbagai lapisan masyarakat,(Dem) daerah pemusatan penduduk dengan kepadatan tinggi serta fasilitas modern dan sebagian besar penduduknya bekerja di luar pertanian
kota administratif,kota yang berfungsi sebagai pusat pemerintahan wilayah atau daerah tertentu,wilayah yang dikepalai seorang wali kota yang bertanggung jawab kepada kepala wilayah kabupaten yang bersangkutan dan tidak memiliki DPRD sendiri
kota madya,kota yang merupakan ibu kota daerah tingkat dua (setingkat dengan kabupaten),wilayah yang dikepalai oleh seorang wali kota
kota mara,dinding di kapal untuk melindungi orang yang memasang meriam,dinding di kapal untuk melindungi orang yang memasang meriam
kota satelit,kota baru yang dibangun di dekat atau di pinggir sebuah kota besar dalam rangka peluasan kota,kota yang terletak di pinggir atau berdekatan dengan kota besar yang secara ekonomis sosial administratif dan politis tergantung pada kota besar itu
kotak,peti kecil tempat barang perhiasan barang kecil dsb,petak
kotek,tiruan bunyi kokok ayam betina (biasanya setelah selesai bertelur),ekor yang berbulu
kotok,→ jawer,tahi ayam
kotoran,tahi (binatang atau manusia),sesuatu yang menyebabkan kotor berupa noda bintik-bintik daki dsb
koyok,anjing yang tidak dipiara orang,anjing liar
kreasi,hasil daya cipta,hasil daya khayal (penyair komponis pelukis dsb)
kreativitas,kemampuan untuk mencipta,daya cipta
kredit,cara menjual barang dengan pembayaran secara tidak tunai (pembayaran ditangguhkan atau diangsur),pinjaman uang dengan pembayaran pengembalian secara mengangsur
kreditan,pinjaman uang,kredit
kredo,(Lt) pernyataan kepercayaan (keyakinan),dasar tuntunan hidup
krem,→ krim,warna kuning gading
kreol,(Ling) alat komunikasi sosial dalam kontak yang singkat (misal dalam perdagangan),ragam pijin yang sudah mempunyai penutur asli
krida,olah,perbuatan
krifoli,(Bio) mikroorganisme yang tumbuh baik pada suhu antara 10o20oC,psikrofili
krim,kepala susu,alat kosmetik berupa salep untuk perawatan kulit
kring,tiruan bunyi bel (pada sepeda telepon dsb),(Kat) bagian dari wilayah paroki
kriptografi,(Ling) penyelidikan tentang kode rahasia,teknik yang mengubah data menjadi berbeda dari aslinya dengan menggunakan algoritme matematika sehingga orang yang tidak mengetahui kuncinya tidak akan dapat membongkar data tersebut
kristal,hablur,(Geo) unsur pembentukan batuan yang atomnya tersusun dan terikat oleh kekuatan intermolekuler sehingga menjadi padat
kristalisasi,proses cara perbuatan menjadi kristal,penghabluran
kroco,siput kecil,(ki) hina
kromatid,(Dok) dua benang halus yang membentuk kromosom yang mudah diwarnai,bagian nukleus sel berwarna lebih gelap yang membentuk anyaman halus
kromatofor,(Zool) sel pigmen yang mengandung penjuluran yang dapat membesar karena pengerutan serabut otot yang melekat pada membran sel,badan yang mengandung klorofil pada protozoa
kromium,(Kim) unsur logam berwarna putih perak bersifat getas dan keras digunakan sebagai campuran besi dalam penyepuhan,unsur dengan nomor atom 2berlambang Cr dan bobot atom 51996
kromo,tingkatan bahasa dalam bahasa Jawa yang termasuk ragam hormat,(Jw) nama orang yang dipakai sebagai lambang yang menggambarkan rakyat kecil atau orang kebanyakan
kromogen,(Kim) zat induk pada zat celup atau senyawa yang menghasilkan zat berwarna,(Bio) zat dalam kehidupan hayati yang pada oksigen membentuk senyawa berwarna
kromosom,(Dok) bagian kromatin inti sel yang berceraian apabila sel terbelah atau membelah yang merupakan rangkaian pendukung jenis benda hidup,(Bio) benda mikroskopis berbentuk tongkat yang berada dalam sel organisme mengandung gen yang banyak
kronologi,ilmu tentang pengukuran kesatuan waktu (seperti dalam astronomi dan geologi),urutan waktu dari sejumlah kejadian atau peristiwa
kroto,(Jw) telur semut rangrang,nama pentil buah melinjo
kru,kerabat kerja,awak kapal (perahu)
ku,bentuk ringkas dari pronomina persona pertama,bentuk klitik aku sebagai penunjuk pelaku pemilik tujuan
kuadran,(Mat) seperempat lingkaran,setiap dari empat bagian suatu bidang datar yang terbagi oleh suatu sumbu silang
kuadrat,kelipatan atau pengalian sebesar jumlah yang dilipatkan atau dikalikan (misal x = 82,a x a = a2)
kuadratur,(Mat) pengungkapan luas misal lingkaran bujur sangkar,(Astron) posisi relatif dua benda langit yang tegak lurus satu sama lain
kuak,tiruan bunyi kerbau atau bunyi katak,burung yang keluar dari persembunyian pada malam hari
kuala,tempat pertemuan sungai dengan sungai atau sungai dengan laut,muara sungai
